company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
MICROBRASSERIE LE TROU DU DIABLE,2016-06-11,0.0,,Deux ensemble de dégustation de bière (60 $),2016,,deux ensemble de dégustation de bière (60 $),0.0
VIGNOBLE ET CIDRERIE COTEAU ROUGEMONT,2016-06-11,0.0,,6 bouteilles (125$),2016,,6 bouteilles (125$),0.0
VIGNOBLE SAINT GABRIEL,2016-06-11,0.0,,4 bouteilles de vin (80$),2016,,4 bouteilles de vin (80$),0.0
PFIZER,2016-09-12,200.0,Yes,$200 Matching employee donation - Isabelle Arcand,2017,200.0, matching employee donation - isabelle arcand,200.0
FEDEX,2016-11-20,675.35,Yes,$500 US FedEx Cares Employee Community Fund - Kevin Adams,2017,500.0, us fedex cares employee community fund - kevin adams,675.35
FONDATION BBB,2016-11-20,5000.0,Yes,$5000 donation,2017,5000.0, donation,5000.0
THISTLE,2016-11-20,1000.0,Yes,$1000 Bronze sponsorship,2017,1000.0, bronze sponsorship,1000.0
DELTA,2016-11-20,0.0,Yes,Roundtrip for 2 to Europe,2017,,roundtrip for 2 to europe,0.0
AIR FRANCE,2016-11-20,0.0,Yes,Roundtrip for 2 to Europe,2017,,roundtrip for 2 to europe,0.0
WESTJET,2016-11-20,0.0,Yes,Roundtrip for two to any WestJet destination,2017,,roundtrip for two to any westjet destination,0.0
SUNDAY CURLING GANG,2016-11-20,10250.0,Yes,Donation of funds from golf tourney,2017,,donation of funds from golf tourney,10250.0
CN RAILROADERS IN THE COMMUNITY,2016-12-01,1000.0,Yes,$1000 Grant for John Race's volunteer work at CN,2017,1000.0, grant for john race's volunteer work at cn,1000.0
CN,2016-12-01,1000.0,Yes,$1000 Grant for John Race's volunteer work at CN,2017,1000.0, grant for john race's volunteer work at cn,1000.0
CN RAILROADERS IN THE COMMUNITY,2016-12-01,250.0,Yes,$1000 Grant for John Race's volunteer work at CN,2017,1000.0, grant for john race's volunteer work at cn,250.0
CN,2016-12-01,250.0,Yes,$1000 Grant for John Race's volunteer work at CN,2017,1000.0, grant for john race's volunteer work at cn,250.0
DR ANNE WEARY INC,2017-01-16,200.0,No,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
REDACTION JO HOWARD EDITING,2017-01-16,100.0,Yes,$100 Busines card,2017,100.0, busines card,100.0
CAMPING LAC TROUSER,2017-01-27,500.0,Yes,$500 donation,2017,500.0, donation,500.0
CHOCOLATERIE BELGE HEYEZ,2017-01-27,925.0,Yes,$925 donation - funds from chocolate basket raffle,2017,925.0, donation - funds from chocolate basket raffle,925.0
PERFORMANCE BROOMS,2017-01-27,0.0,No,11 brooms ($704 value),2017,704.0,11 brooms ( value),704.0
FABRICVILLE,2017-01-31,200.0,Yes,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
HARDLINE CURLING,2017-02-08,0.0,No,Longtime sponsor,2017,,longtime sponsor,0.0
LORNE STEINBERG WEALTH MANAGEMENT,2017-02-08,1000.0,No,$1000 donation,2017,1000.0, donation,1000.0
PROMAX COMBUSTION INC,2017-02-18,2000.0,Yes,Corporate team,2017,,corporate team,2000.0
SYLVAIN ROCHON DEPUTE DE RICHELIEU,2017-02-18,300.0,No,$300 1/2 page ad,2017,300.0, 1/2 page ad,300.0
MCOUAT GROUP,2017-02-18,500.0,Yes,$500 donation,2017,500.0, donation,500.0
RMCC EXECUTIVE CURLING LEAGUE,2017-02-18,137.98,Yes,$137.98 donation,2017,137.98, donation,137.98
STEEVE DIAMOND,2017-02-18,1400.0,Yes,tbd,2017,,tbd,1400.0
LES CHEVALIERS DE COLOMB,2017-02-18,100.0,Yes,$100 Busines card,2017,100.0, busines card,100.0
M L FORAND COURTIERS D ASSURANCE,2017-02-18,300.0,Yes,$300 1/2 page ad,2017,300.0, 1/2 page ad,300.0
BIBLIO MONDO,2017-02-18,500.0,Yes,$500 donation,2017,500.0, donation,500.0
EQUIPEMENTS TWIN,2017-02-18,500.0,Yes,$500 donation,2017,500.0, donation,500.0
FINELINE TECHNOLOGIES,2017-02-18,200.0,Yes,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
PHARMAPRIX,2017-02-20,200.0,Yes,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
TOITURE K GOUGEON ROOFING,2017-02-20,100.0,Yes,$100 Busines card,2017,100.0, busines card,100.0
JIMI S MUSIC STORE QUEBEC INC,2017-02-20,125.0,Yes,$125 business card,2017,125.0, business card,125.0
RBC,2017-02-20,1000.0,No,$1000 donation,2017,1000.0, donation,1000.0
BEACONSFIELD GOLF COURSE,2017-02-24,300.0,Yes,$300 1/2 page ad,2017,300.0, 1/2 page ad,300.0
CAISSE DESJARDINS RICHELIEU SAINT MATHIAS,2017-02-24,200.0,Yes,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
MARVIN A DRIMER FOUNDATION,2017-02-24,2000.0,Yes,Corporate team,2017,,corporate team,2000.0
ENVIROMARK,2017-02-24,100.0,Yes,business card,2017,,business card,100.0
SOUDURE FLF INC,2017-02-28,1000.0,Yes,$1000 donation,2017,1000.0, donation,1000.0
DELMAR INTERNATIONAL INC,2017-02-28,3000.0,Yes,Corporate team,2017,,corporate team,3000.0
EULER HERMES,2017-02-28,200.0,Yes,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
CLARET ASSET MANAGEMENT CORP,2017-03-03,2000.0,Yes,Corporate team,2017,,corporate team,2000.0
BOUTIQUE LA CHAUMIERE,2017-03-03,0.0,Yes,Candle,2017,,candle,0.0
REMBOURRAGE INTER PROVINCIAL,2017-03-03,100.0,Yes,business card ad,2017,,business card ad,100.0
CHAUSSURES CLASSICO,2017-03-03,0.0,Yes,Travel kit (4 pcs),2017,,travel kit (4 pcs),0.0
OK PNEUS BELOEIL ST HILAIRE,2017-03-03,100.0,Yes,business card ad,2017,,business card ad,100.0
FMRS,2017-03-03,500.0,Yes,$500 donation,2017,500.0, donation,500.0
VILLE DE SOREL TRACY,2017-03-03,1000.0,Yes,$1000 donation,2017,1000.0, donation,1000.0
BDO,2017-03-03,0.0,,reduced accounting fees,2017,,reduced accounting fees,0.0
DRILLMEX,2017-03-03,500.0,Yes,$500 donation,2017,500.0, donation,500.0
DRILLMEX INC,2017-03-03,500.0,Yes,$500 donation,2017,500.0, donation,500.0
IMPRIMERIE MARION INC,2017-03-03,0.0,,For printing considerations,2017,,for printing considerations,0.0
AUBRY,2017-03-03,0.0,,For printing considerations,2017,,for printing considerations,0.0
LOUIS PLAMONDON DEPUTE,2017-03-03,100.0,Yes,business card,2017,,business card,100.0
LES AUTOBUS BEAUREGARD,2017-03-08,100.0,Yes,business card ad,2017,,business card ad,100.0
DR MAURICE TAPIERO,2017-03-08,100.0,Yes,business card ad,2017,,business card ad,100.0
SOREL TRACY BAR B Q,2017-03-08,100.0,Yes,business card ad,2017,,business card ad,100.0
J R LEVAGE INC,2017-03-10,200.0,Yes,$200 1/4 page ad,2017,200.0, 1/4 page ad,200.0
THE ROSSY FAMILY FOUNDATION,2017-03-10,2000.0,Yes,$2000 donation,2017,2000.0, donation,2000.0
APTOS,2017-03-20,500.0,No,$500 donation,2017,500.0, donation,500.0
FONDATION BBB,2017-06-29,5000.0,Yes,$5000 donation,2018,5000.0, donation,5000.0
FONDATION BBB,2017-11-14,5000.0,Yes,$5000 donation,2018,5000.0, donation,5000.0
WESTJET,2017-11-06,0.0,Yes,Roundtrip for two to any WestJet destination,2018,,roundtrip for two to any westjet destination,0.0
AIR FRANCE,2017-11-13,0.0,Yes,Roundtrip for 2 to Paris,2018,,roundtrip for 2 to paris,0.0
CN RAILROADERS IN THE COMMUNITY,2017-11-14,1000.0,Yes,$1000 Grant for John Race's volunteer work at CN,2018,1000.0, grant for john race's volunteer work at cn,1000.0
CN,2017-11-14,1000.0,Yes,$1000 Grant for John Race's volunteer work at CN,2018,1000.0, grant for john race's volunteer work at cn,1000.0
CN,2017-11-14,250.0,Yes,$250 Grant for John Race's volunteer work at CN,2018,250.0, grant for john race's volunteer work at cn,250.0
SUNDAY CURLING GANG,2017-09-30,11370.0,Yes,Donation of funds from golf tourney,2018,,donation of funds from golf tourney,11370.0
DRAGON BOAT RACE,2017-11-14,3233.0,Yes,Donation of funds from boat race,2018,,donation of funds from boat race,3233.0
DELTA,2017-11-14,0.0,Yes,"Roundtrip for 2 to any USA destination
($1200 value)",2018,1200.0,roundtrip for 2 to any usa destination ( value),1200.0
CN RAILROADERS IN THE COMMUNITY,2017-11-24,500.0,Yes,$500 Grant for Robert Dod's volunteer work at CN,2018,500.0, grant for robert dod's volunteer work at cn,500.0
CN,2017-11-24,500.0,Yes,$500 Grant for Robert Dod's volunteer work at CN,2018,500.0, grant for robert dod's volunteer work at cn,500.0
MNA GEOFFREY KELLEY,2017-12-01,500.0,Yes,$500 donation,2018,500.0, donation,500.0
PROMAX COMBUSTION INC,2017-12-29,2000.0,Yes,Corporate team,2018,,corporate team,2000.0
AMERICAN EFIRD CANADA INC,2018-01-25,100.0,Yes,$100 Busines card,2018,100.0, busines card,100.0
INTERCONTINENTAL MONTREAL,2018-01-25,0.0,Yes,1 night for two+ breakfast,2018,,1 night for two+ breakfast,0.0
REDACTION JO HOWARD EDITING,2018-01-25,100.0,Yes,$100 Busines card,2018,100.0, busines card,100.0
DR ANNE WEARY INC,2018-01-25,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
MONTREAL ALOUETTES,2018-01-30,399.0,Yes,Donation of funds raised through Als ticket sales,2018,,donation of funds raised through als ticket sales,399.0
J R LEVAGE INC,2018-01-30,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
HARDLINE CURLING,2018-01-30,0.0,Yes,Longtime sponsor,2018,,longtime sponsor,0.0
BDO,2018-01-30,0.0,,reduced accounting fees,2018,,reduced accounting fees,0.0
FINELINE TECHNOLOGIES,2018-02-06,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
THISTLE,2018-02-06,1000.0,Yes,$1000 Bronze sponsorship,2018,1000.0, bronze sponsorship,1000.0
KETTO,2018-02-08,300.0,Yes,$300 1/2 page ad,2018,300.0, 1/2 page ad,300.0
CAMPING LAC TROUSER,2018-02-08,100.0,Yes,$100 Busines card,2018,100.0, busines card,100.0
LES AUTOBUS BEAUREGARD,2018-02-12,100.0,Yes,business card ad,2018,,business card ad,100.0
LORNE STEINBERG WEALTH MANAGEMENT,2018-02-12,2000.0,Yes,"$2,000 Silver Sponsorship",2018,2000.0, silver sponsorship,2000.0
VILLE DE SAINT JOSEPH DE SOREL,2018-02-13,100.0,Yes,$100 donation,2018,100.0, donation,100.0
FABRICVILLE,2018-02-19,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
BEACONSFIELD GOLF COURSE,2018-02-20,300.0,Yes,$300 1/4 page ad,2018,300.0, 1/4 page ad,300.0
BLACKBURN ATHLETICS,2018-02-22,0.0,Yes,Two 1 month memberships to Blackburn Athletics,2018,,two 1 month memberships to blackburn athletics,0.0
M L FORAND COURTIERS D ASSURANCE,2018-02-22,300.0,Yes,$300 1/2 page ad,2018,300.0, 1/2 page ad,300.0
MCOUAT GROUP,2018-02-22,500.0,Yes,$500 donation,2018,500.0, donation,500.0
ALVIN SEGAL FAMILY FOUNDATION,2018-02-25,750.0,Yes,$500 donation,2018,500.0, donation,750.0
BIBLIO MONDO,2018-02-28,500.0,No,$500 donation,2018,500.0, donation,500.0
COERENTE CAPITAL,2018-02-28,500.0,Yes,$500 donation,2018,500.0, donation,500.0
DELMAR INTERNATIONAL INC,2018-02-28,3000.0,Yes,Corporate team,2018,,corporate team,3000.0
SOUDURE FLF INC,2018-03-03,1500.0,Yes,$1500 donation,2018,1500.0, donation,1500.0
CLINIQUE CHIROPRATIQUE LABARRE,2018-03-07,0.0,Yes,Orthopedic pillow for MBCC,2018,,orthopedic pillow for mbcc,0.0
REMBOURRAGE INTER PROVINCIAL,2018-03-07,100.0,Yes,business card ad,2018,,business card ad,100.0
JEAN COUTU,2018-03-07,0.0,Yes,2 gift certificates,2018,,2 gift certificates,0.0
PERFORMANCE BROOMS,2018-03-07,0.0,Yes,12 brooms ($768 value),2018,768.0,12 brooms ( value),768.0
ASHAM CURLING EQUIPMENT,2018-03-08,0.0,Yes,$500 in curling equipment,2018,500.0, in curling equipment,500.0
CENTRES DENTAIRES LAPOINTE,2018-03-09,500.0,No,$500 donation,2018,500.0, donation,500.0
MARVIN A DRIMER FOUNDATION,2018-03-09,3500.0,Yes,Corporate team,2018,,corporate team,3500.0
DAVID LAMETTI DEPUTE MEMBER OF PARLIAMENT LASALLE EMARD VERDUN,2018-03-08,100.0,No,$100 Busines card,2018,100.0, busines card,100.0
MICHEL PICARD DEPUTE DE MONTARVILLE,2018-03-08,100.0,No,$100 Busines card,2018,100.0, busines card,100.0
NAKISA,2018-03-12,2000.0,Yes,,2018,,,2000.0
FRANCIS SCARPALEGGIA,2018-03-12,250.0,No,,2018,,,250.0
SHERRY ROMANADO MP LONGUEUIL CHARLES LEMOYNE,2018-03-12,200.0,No,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
ENVIROMARK,2018-03-14,100.0,Yes,business card,2018,,business card,100.0
EULER HERMES,2018-03-15,0.0,,Recognition of their event's success,2018,,recognition of their event's success,0.0
DOMINOES,2018-03-16,0.0,,Donated lunch,2018,,donated lunch,0.0
CANADIAN TIRE,2018-03-17,0.0,,,2018,,,0.0
GREENFIELD PARK,2018-03-18,0.0,,,2018,,,0.0
LABATTS,2018-03-19,0.0,,,2018,,,0.0
LE BOUCAN,2018-03-20,0.0,,,2018,,,0.0
BICYCLES HUARD,2018-03-20,0.0,,Bike for Otterburn,2018,,bike for otterburn,0.0
DRILLMEX,2018-03-20,500.0,Yes,$500 donation,2018,500.0, donation,500.0
OK PNEUS BELOEIL ST HILAIRE,2018-03-20,100.0,Yes,business card ad,2018,,business card ad,100.0
DR MAURICE TAPIERO,2018-03-20,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
CLAUDIA PONCE REMAX,2018-03-20,1000.0,Yes,$1000 donation,2018,1000.0, donation,1000.0
MOMENTUM TRAVEL GROUP,2018-03-21,1000.0,Yes,$1000 donation,2018,1000.0, donation,1000.0
EQUIPEMENTS TWIN,2018-03-22,500.0,No,$500 donation,2018,500.0, donation,500.0
CIBC,2018-03-22,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
PHARMAPRIX,2018-03-22,200.0,Yes,$200 1/4 page ad,2018,200.0, 1/4 page ad,200.0
KONDITION,2018-03-29,0.0,Yes,"$100 gift card, no ad, no tax receipt",2018,100.0," gift card, no ad, no tax receipt",100.0
JEWISH COMMUNITY FOUNDATION OF MONTREAL,,250.0,Yes,$250 donation,2018,250.0, donation,250.0
CENTRE QUEBECOIS DE PHILANTHROPIE,2018-04-05,100.0,Yes,$100 donation,2018,100.0, donation,100.0
WESTDENT,2018-04-05,100.0,Yes,,2018,,,100.0
PRESIDENT S CHOICE CHILDREN S CHARITY,2018-03-23,1000.0,Yes,$1000 donation,2018,1000.0, donation,1000.0
MARTIN COITEUX MINISTRE DES AFFAIRES MUNICIPALES PDF,2018-03-21,500.0,Yes,$500 donation,2018,500.0, donation,500.0
MITCHELL BROWNSTEIN MAYOR OF COTE SAINT LUC,2018-04-09,100.0,Yes,$100 donation,2018,100.0, donation,100.0
UPS,2018-04-02,1000.0,Yes,$1000 donation,2018,1000.0, donation,1000.0
SNC LAVALIN,2018-04-12,220.0,Yes,$220 donation,2018,220.0, donation,220.0
POMPEII SHIPPING CONSULTANTS,2018-04-07,1000.0,Yes,$1000 donation,2018,1000.0, donation,1000.0
MNA GEOFFREY KELLEY,2018-09-12,500.0,Yes,$500 donation,2018,500.0, donation,500.0
MNA PIERRE ARCAND,2018-09-12,500.0,Yes,$500 donation,2018,500.0, donation,500.0
DELTA,2018-11-06,0.0,Yes,Roundtrip for 2 to Europe,2019,,roundtrip for 2 to europe,0.0
WESTJET,2018-11-19,0.0,Yes,Roundtrip for two to any WestJet destination,2019,,roundtrip for two to any westjet destination,0.0
SUNDAY CURLING GANG,2019-02-11,10150.0,Yes,Donation of funds from golf tourney,2019,,donation of funds from golf tourney,10150.0
BDO,2019-02-11,0.0,,reduced accounting fees,2019,,reduced accounting fees,0.0
HARDLINE CURLING,2019-02-11,0.0,,Longtime sponsor,2019,,longtime sponsor,0.0
PROMAX COMBUSTION INC,2019-02-11,2000.0,Yes,Corporate team,2019,,corporate team,2000.0
COERENTE CAPITAL,2019-03-02,500.0,Yes,$500 donation,2019,500.0, donation,500.0
SAUTE MOUTON,2019-03-07,0.0,Yes,2 passes family 2019 season,2019,,2 passes family 2019 season,0.0
LORNE STEINBERG WEALTH MANAGEMENT,2019-03-02,2000.0,Yes,"$2,000 Silver Sponsorship",2019,2000.0, silver sponsorship,2000.0
LES AUTOBUS BEAUREGARD,2019-02-11,100.0,Yes,business card ad,2019,,business card ad,100.0
ETELKA KLEE,2019-02-11,100.0,Yes,business card ad,2019,,business card ad,100.0
DYNASTY CURLING,2019-02-13,0.0,Yes,"Niklas Edin jersey, retail value $100 - For Stan's K4K auctions",2019,100.0,"niklas edin jersey, retail value - for stan's k4k auctions",100.0
CHAIR MAN,2019-02-13,0.0,Yes,two full sets of tables and chairs,2019,,two full sets of tables and chairs,0.0
BMA,2019-02-13,2000.0,Yes,Corporate team,2019,,corporate team,2000.0
EULER HERMES,2019-02-13,0.0,,Recognition of their event's success,2019,,recognition of their event's success,0.0
GSA,2019-02-14,1000.0,Yes,$1000 Bronze sponsorship,2019,1000.0, bronze sponsorship,1000.0
DRAGON BOAT RACE,2019-02-14,10000.0,Yes,Donation of funds from boat race,2019,,donation of funds from boat race,10000.0
MONTREAL ALOUETTES,2019-02-14,372.0,Yes,Donation of funds raised through Als ticket sales,2019,,donation of funds raised through als ticket sales,372.0
FINELINE TECHNOLOGIES,2019-02-15,200.0,Yes,$200 1/4 page ad,2019,200.0, 1/4 page ad,200.0
DELMAR INTERNATIONAL INC,2019-02-19,3000.0,Yes,Corporate team,2019,,corporate team,3000.0
MOMENTUM TRAVEL GROUP,2019-02-21,1000.0,Yes,$1000 donation,2019,1000.0, donation,1000.0
MARVIN A DRIMER FOUNDATION,2019-02-23,3500.0,Yes,Corporate team,2019,,corporate team,3500.0
REDACTION JO HOWARD EDITING,2019-02-23,100.0,Yes,$100 Busines card,2019,100.0, busines card,100.0
PERFORMANCE BROOMS,2019-02-23,0.0,Yes,12 brooms ($768 value),2019,768.0,12 brooms ( value),768.0
REMBOURRAGE INTER PROVINCIAL,2019-02-23,100.0,Yes,business card ad,2019,,business card ad,100.0
DR MAURICE TAPIERO,2019-02-23,200.0,Yes,$200 1/4 page ad,2019,200.0, 1/4 page ad,200.0
OPTION,2019-02-23,200.0,Yes,$200 1/4 page ad,2019,200.0, 1/4 page ad,200.0
EGR,2019-02-26,1000.0,Yes,$1000 donation,2019,1000.0, donation,1000.0
LE CHALET DE LA MONTAGNE,2019-02-27,100.0,Yes,business card ad,2019,,business card ad,100.0
VITESSE TRANSPORT CORPORATION,2019-03-02,500.0,Yes,$500 donation,2019,500.0, donation,500.0
CANADA CLEAN FUELS,2019-03-02,1400.0,,Hockey tickets to be raffled off,2019,,hockey tickets to be raffled off,1400.0
NAKISA,2019-03-05,2000.0,Yes,Corporate team,2019,,corporate team,2000.0
DE GRANDPRE CHAIT,2019-03-06,500.0,Yes,$500 donation,2019,500.0, donation,500.0
M L FORAND COURTIERS D ASSURANCE,2019-03-06,300.0,Yes,$300 1/2 page ad,2019,300.0, 1/2 page ad,300.0
NATHALIE ROY DEPUTEE DE MONTARVILLE,2019-03-07,1000.0,Yes,$1000 donation,2019,1000.0, donation,1000.0
MICHEL PICARD DEPUTE DE MONTARVILLE,2019-03-08,200.0,Yes,$200 1/4 page ad,2019,200.0, 1/4 page ad,200.0
AVERNA,2019-03-09,0.0,,Corporate event,2019,,corporate event,0.0
SHERATON,2019-03-10,0.0,,Corporate event,2019,,corporate event,0.0
SHERRY ROMANADO MP LONGUEUIL CHARLES LEMOYNE,2019-03-13,200.0,Yes,$200 1/4 page ad,2019,200.0, 1/4 page ad,200.0
PHARMAPRIX,2019-03-13,200.0,Yes,$200 1/4 page ad,2019,200.0, 1/4 page ad,200.0
BEACONSFIELD GOLF COURSE,2019-03-14,300.0,Yes,$300 1/2 page ad,2019,300.0, 1/2 page ad,300.0
CN RAILROADERS IN THE COMMUNITY,2019-03-14,1250.0,Yes,,2019,,,1250.0
CN,2019-03-14,1250.0,Yes,,2019,,,1250.0
IAN LAFRENIERE DEPUTEE DE VACHON,2019-03-14,300.0,Yes,$200 donation,2019,200.0, donation,300.0
INTELLISPORTS,2019-03-14,250.0,Yes,$250 donation,2019,250.0, donation,250.0
BICYCLES HUARD,2019-03-15,0.0,,Bike for Otterburn,2019,,bike for otterburn,0.0
METALPLESS,2019-03-15,100.0,Yes,business card ad,2019,,business card ad,100.0
DECOR EXPERTS EXPO,2019-03-15,500.0,Yes,$500 donation,2019,500.0, donation,500.0
MAD SCIENCE,2019-03-15,0.0,,whatever we can fit,2019,,whatever we can fit,0.0
ARKANGEL PHOTOGRAPHY,2019-03-16,0.0,Yes,"Photoshoot for iSupportK4K campaign, rental of location, and editing",2019,,"photoshoot for isupportk4k campaign, rental of location, and editing",0.0
AON,2019-03-16,100.0,Yes,business card ad,2019,,business card ad,100.0
GOLDLINE CURLING,2019-03-24,0.0,Yes,11 brooms,2019,,11 brooms,0.0
FRANCIS SCARPALEGGIA,2019-03-26,250.0,Yes,Banner advertisement at club,2019,,banner advertisement at club,250.0
DRILLMEX,2019-03-26,500.0,Yes,$500 donation,2019,500.0, donation,500.0
ANNA AND PHILIP BELEC FOUNDATION FUND AT THE FOUNDATION OF GREATER MONTREAL,2019-07-15,500.0,Yes,$500 grant,2019,500.0, grant,500.0
CN,2018-09-12,544.0,Yes,$544 donation,2019,544.0, donation,544.0
CN,2018-09-12,500.0,Yes,$554 donation,2019,554.0, donation,500.0
DELTA,2019-09-09,0.0,No,Roundtrip for 2 to Europe + fundraiser tickets for 2,2020,,roundtrip for 2 to europe + fundraiser tickets for 2,0.0
WESTJET,2018-11-19,0.0,Yes,Roundtrip for two to any WestJet destination,2020,,roundtrip for two to any westjet destination,0.0
SUNDAY CURLING GANG,,10150.0,Yes,Donation of funds from golf tourney,2020,,donation of funds from golf tourney,10150.0
DRAGON BOAT RACE,,10000.0,Yes,Donation of funds from boat race,2020,,donation of funds from boat race,10000.0
MA CAFEINE,2020-01-09,300.0,No,$300 1/4 page ad,2020,300.0, 1/4 page ad,300.0
LORNE STEINBERG WEALTH MANAGEMENT,2020-01-25,2000.0,Yes,"$2,000 Silver Sponsorship",2020,2000.0, silver sponsorship,2000.0
LES AUTOBUS BEAUREGARD,2020-02-06,100.0,Yes,business card ad,2020,,business card ad,100.0
BICYCLES HUARD,2020-02-06,0.0,,Bike for Golf Tournament,2020,,bike for golf tournament,0.0
HARDLINE CURLING,2020-02-06,0.0,,Longtime sponsor,2020,,longtime sponsor,0.0
PROMAX COMBUSTION INC,2020-02-06,2000.0,Yes,Corporate team,2020,,corporate team,2000.0
BDO,2020-02-06,0.0,,reduced accounting fees,2020,,reduced accounting fees,0.0
COERENTE CAPITAL,2020-02-07,500.0,Yes,$500 donation,2020,500.0, donation,500.0
PERFORMANCE BROOMS,2020-02-08,0.0,,12 brooms ($768 value),2020,768.0,12 brooms ( value),768.0
FINELINE TECHNOLOGIES,2020-02-09,200.0,,$200 1/4 page ad,2020,200.0, 1/4 page ad,200.0
DELMAR INTERNATIONAL INC,2020-02-20,3000.0,,Corporate team,2020,,corporate team,3000.0
VITESSE TRANSPORT CORPORATION,2020-02-21,0.0,Yes,Corporate event,2020,,corporate event,0.0
EGR,2020-02-27,1000.0,No,$1000 donation,2020,1000.0, donation,1000.0
WESTDENT,2020-02-27,100.0,Donation done onlie 2020-02-27,business card ad,2020,,business card ad,100.0
CHAIR MAN,2020-03-04,0.0,Bo,two full sets of tables and chairs,2020,,two full sets of tables and chairs,0.0
SHERRY ROMANADO MP LONGUEUIL CHARLES LEMOYNE,2020-03-04,200.0,No,$200 1/4 page ad,2020,200.0, 1/4 page ad,200.0
LE CHALET DE LA MONTAGNE,2020-03-05,100.0,No,business card ad,2020,,business card ad,100.0
OPTION,2020-03-05,300.0,No,$300 1/2 page ad,2020,300.0, 1/2 page ad,300.0
DRILLMEX,2020-03-06,500.0,No,$500 donation,2020,500.0, donation,500.0
PHARMAPRIX,2020-03-06,200.0,No,$200 1/4 page ad,2020,200.0, 1/4 page ad,200.0
CANADA CLEAN FUELS,2020-03-06,1400.0,,Playoff Hockey tickets for Leafs to be raffled off,2020,,playoff hockey tickets for leafs to be raffled off,1400.0
SHERATON,2020-03-10,0.0,,Corporate event,2020,,corporate event,0.0
NATHALIE ROY DEPUTEE DE MONTARVILLE,2020-03-08,1000.0,,$1000 donation,2020,1000.0, donation,1000.0
NAKISA,2020-03-10,2000.0,No,Corporate team,2020,,corporate team,2000.0
INTELLISPORTS,2020-03-10,200.0,No,$250 donation,2020,250.0, donation,200.0
BDO,2021-03-01,0.0,,reduced accounting fees,2021,,reduced accounting fees,0.0
BICYCLES HUARD,2020-11-01,0.0,,$250 g/c for raffle draw,2021,250.0, g/c for raffle draw,250.0
FINELINE TECHNOLOGIES,2021-02-22,200.0,Yes,$200 1/4 page ad,2021,200.0, 1/4 page ad,200.0
DRILLMEX,2021-03-21,500.0,Yes,$500 donation,2021,500.0, donation,500.0
M L FORAND COURTIERS D ASSURANCE,2021-03-21,500.0,No,$500 1/2 page ad,2021,500.0, 1/2 page ad,500.0
LES AUTOBUS BEAUREGARD,2021-03-21,100.0,Yes,business card ad,2021,,business card ad,100.0
PROMAX COMBUSTION INC,2021-03-27,2000.0,Yes,Corporate team,2021,,corporate team,2000.0
COERENTE CAPITAL,2021-03-27,1000.0,Yes,"$1,000 donation",2021,1000.0, donation,1000.0
CAMPING LAC TROUSER,2021-03-27,300.0,Yes,$365 1/2 page ad,2021,365.0, 1/2 page ad,300.0
WEBSPIEL CA,,0.0,,use of their website,2021,,use of their website,0.0
MARVIN A DRIMER FOUNDATION,2021-04-20,6500.0,Yes,Corporate team,2021,,corporate team,6500.0
HARDLINE CURLING,2020-02-20,0.0,,Longtime sponsor,2021,,longtime sponsor,0.0
CHAIR MAN,2020-02-20,0.0,,two full sets of tables and chairs,2021,,two full sets of tables and chairs,0.0
LORNE STEINBERG WEALTH MANAGEMENT,2020-02-20,0.0,,"$2,000 Silver Sponsorship",2021,2000.0, silver sponsorship,2000.0
DELMAR INTERNATIONAL INC,2020-02-20,0.0,,Corporate team,2021,,corporate team,0.0
DELTA,2020-02-20,0.0,,Roundtrip for 2 to Europe + fundraiser tickets for 2,2021,,roundtrip for 2 to europe + fundraiser tickets for 2,0.0
WESTJET,2020-02-20,0.0,,Roundtrip for two to any WestJet destination,2021,,roundtrip for two to any westjet destination,0.0
SUNDAY CURLING GANG,2020-02-20,0.0,,Donation of funds from golf tourney,2021,,donation of funds from golf tourney,0.0
EULER HERMES,2020-02-20,0.0,,Recognition of their event's success,2021,,recognition of their event's success,0.0
SHERATON,2020-02-20,0.0,,Corporate event,2021,,corporate event,0.0
MA CAFEINE,2020-02-20,0.0,,$300 1/4 page ad,2021,300.0, 1/4 page ad,300.0
PERFORMANCE BROOMS,2020-02-20,0.0,,12 brooms ($768 value),2021,768.0,12 brooms ( value),768.0
EGR,2020-02-27,0.0,,$1000 donation,2021,1000.0, donation,1000.0
WESTDENT,2020-02-27,0.0,,business card ad,2021,,business card ad,0.0
