company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
LABORATOIRE ORTHESE PLUS,2011-02-08,100.0,Yes,$100 business card,2011,100.0, business card,100.0
,2011-02-08,150.0,Yes,150,2011,,,150.0
MARCON,2011-02-09,100.0,Yes,business card,2011,,business card,100.0
KRUGER,2011-02-11,100.0,Yes,business card,2011,,business card,100.0
LIBERTY PULTRUSIONS,2011-02-13,100.0,Yes,$100 business card,2011,100.0, business card,100.0
GUT LABAT CHARTERED ACCOUNTANTS RICHARD GUT,2011-02-13,100.0,Yes,$100 business card,2011,100.0, business card,100.0
ALBERT DAVIDSON INDUSTIRES,2011-02-13,100.0,Yes,$100 business card,2011,100.0, business card,100.0
KELSON FINANCIAL PLANNERS,2011-02-13,200.0,Yes,$200 1/4 page ad,2011,200.0, 1/4 page ad,200.0
PHARMAPRIX,2011-02-13,200.0,Yes,$200 1/4 page ad,2011,200.0, 1/4 page ad,200.0
CRISTINI,2011-02-13,100.0,Yes,$100 business card,2011,100.0, business card,100.0
TUTINO EDWARDS JOSEPH,2011-02-13,100.0,Yes,business card - likely,2011,,business card - likely,100.0
CHUBB,2011-02-13,100.0,Yes,business card,2011,,business card,100.0
AVIS,2011-02-17,100.0,Yes,$100 business card,2011,100.0, business card,100.0
JAMES STICKLES,2011-02-17,50.0,Yes,personal donation,2011,,personal donation,50.0
OUESTDENT,2011-02-22,100.0,Yes,$100 business card,2011,100.0, business card,100.0
MONTREAL CANADIENS,2011-02-22,0.0,Yes,Signed jersey,2011,,signed jersey,0.0
TUSK ESTHETIQUE,2011-02-22,0.0,Yes,donation of mani-pedi-facial,2011,,donation of mani-pedi-facial,0.0
L ETOILE DE ST HILAIRE,2011-02-24,100.0,Yes,$100 business card,2011,100.0, business card,100.0
VILLE D OTTERBURN PARK,2011-02-24,100.0,Yes,$100 business card,2011,100.0, business card,100.0
VINS PHILIPPE DANDURAND LTEE,2011-02-24,0.0,,??,2011,,??,0.0
AIR FRANCE,2011-02-24,0.0,,500,2011,,,0.0
ROYAL LEPAGE,2011-02-24,100.0,Yes,$100 business card,2011,100.0, business card,100.0
MURIELLE LEBLANC,2011-02-25,0.0,Yes,painting,2011,,painting,0.0
SUN WAH,2011-02-25,200.0,Yes,$100 business card,2011,100.0, business card,200.0
DR MAURICE TAPIERO,2011-02-25,75.0,Yes,$100 business card,2011,100.0, business card,75.0
IL MARTINI,2011-02-25,300.0,No,300 - 1/2 page,2011,,300 - 1/2 page,300.0
EBM,2011-02-25,300.0,No,300 1/2 page ad,2011,,300 1/2 page ad,300.0
NAKISA,2011-02-25,0.0,No,$500 silver ad,2011,500.0, silver ad,500.0
SAECO,2011-02-25,0.0,No,$500 silver ad,2011,500.0, silver ad,500.0
OLCO,2011-02-28,200.0,No,$200 - 1/4 page,2011,200.0, - 1/4 page,200.0
CAISSE DESJARDINS SAINT MATHIAS,2011-02-28,250.0,Yes,250,2011,,,250.0
DELTA,2011-02-28,200.0,Yes,$200 1/4 page ad,2011,200.0, 1/4 page ad,200.0
METAFORE,2011-02-28,200.0,No,$200 1/4 page ad,2011,200.0, 1/4 page ad,200.0
OLMCC,2011-02-28,200.0,Yes,$200 1/4 page ad,2011,200.0, 1/4 page ad,200.0
TOWN OF MOUNT ROYAL,2011-02-28,100.0,Yes,$100 donation,2011,100.0, donation,100.0
ROLLES MACHINERY INC,2011-03-23,50.0,Yes,,2011,,,50.0
SHW,2011-03-23,100.0,Yes,,2011,,,100.0
GL V,2011-03-23,20.0,Yes,,2011,,,20.0
MARLOWE RESTAURANT,2011-03-30,0.0,Yes,3 $125 gift certificates,2011,125.0,3 gift certificates,125.0
DIRECTED ELECTRONICS,2011-03-23,0.0,,,2011,,,0.0
POSTE D ESSENCE SAINT BRUNO,2011-03-25,0.0,,,2011,,,0.0
THISTLE,2011-12-16,500.0,Yes,$500 Silver Sponsor,2012,500.0, silver sponsor,500.0
DELTA,,0.0,Yes,KLM trip for two to Europe - ticket should say courtesy of Delta/KLM,2012,,klm trip for two to europe - ticket should say courtesy of delta/klm,0.0
WESTJET,2011-12-24,0.0,No,Tickets for two to any WestJet destination,2012,,tickets for two to any westjet destination,0.0
P A SUPER MARCHE,2012-01-02,1500.0,Yes,"Hot dogs, buns, condiments + cash sponsorship ($1500)",2012,1500.0,"hot dogs, buns, condiments + cash sponsorship ()",1500.0
FONDATION BBB,2012-01-03,5000.0,Yes,Platinum,2012,,platinum,5000.0
FRIENDS OF TROUSER LAKE,2012-01-05,1300.0,Mike paid printing with it,Bronze $1300,2012,1300.0,bronze ,1300.0
SUNDAY NIGHT CURLING,2012-01-05,2960.0,Yes,2960,2012,,,2960.0
VIA,2012-01-09,0.0,Yes,trip for 4 Montreal/Windsor $2251 value,2012,2251.0,trip for 4 montreal/windsor value,2251.0
FMRS,2012-01-09,400.0,Yes,$400 sponsorship,2012,400.0, sponsorship,400.0
ADVANCED DYNAMICS,2012-01-09,500.0,Yes,$500 Silver Sponsor,2012,500.0, silver sponsor,500.0
ULTRAMAR,2012-01-10,0.0,Yes,Silver - $500 in gas coupons,2012,500.0,silver - in gas coupons,500.0
EMPIRE,2012-01-13,150.0,Yes,150,2012,,,150.0
LORNE STEINBERG WEALTH MANAGEMENT,2012-01-19,500.0,Yes,Silver - $500,2012,500.0,silver - ,500.0
OUESTDENT,2012-01-19,100.0,Yes,$100 business card,2012,100.0, business card,100.0
MACS,2012-01-23,1000.0,Yes,Bronze $1000,2012,1000.0,bronze ,1000.0
KUPER ACADEMY,2012-01-23,1500.0,Yes,Bronze $1000,2012,1000.0,bronze ,1500.0
